query_mass,compound_id,compound_name,formula,monoisotopic_mass,adduct,adduct_type,adduct_m/z,"delta(ppm),",ccs_value
283.2627766,HMDB0246833,Octadec-5-enoic acid,C18H34O2,282.255880335,M+H,+,283.263156,1,176.72
283.2627766,HMDB0245277,Octadecenoic acid,C18H34O2,282.255880335,M+H,+,283.263156,1,176.5905
283.2627766,HMDB0244344,11-Aoctadecenoic acid,C18H34O2,282.255880335,M+H,+,283.263156,1,177.5055
283.2627766,HMDB0062703,Octadec-9-enoic Acid,C18H34O2,282.255880335,M+H,+,283.263156,1,177.5956666666667
283.2627766,HMDB0062242,7Z-octadecenoic acid,C18H34O2,282.255880335,M+H,+,283.263156,1,178.62
283.2627766,HMDB0041480,(Z)-13-Octadecenoic acid,C18H34O2,282.255880335,M+H,+,283.263156,1,177.183
283.2627766,HMDB0304764,cis-12-Octadecenoic acid,C18H34O2,282.255880335,M+H,+,283.263156,1,182.928
283.2627766,HMDB0304817,trans-8-Elaidic acid,C18H34O2,282.255880335,M+H,+,283.263156,1,179.224
283.2627766,HMDB0304768,trans-15-Octadecenoic acid,C18H34O2,282.255880335,M+H,+,283.263156,1,177.8695
283.2627766,HMDB0304769,trans-16-Octadecenoic acid,C18H34O2,282.255880335,M+H,+,283.263156,1,176.8335
283.2627766,HMDB0304770,trans-4-Octadecenoic acid,C18H34O2,282.255880335,M+H,+,283.263156,1,180.1275
283.2627766,HMDB0304767,trans-14-Octadecenoic acid,C18H34O2,282.255880335,M+H,+,283.263156,1,180.4845
283.2627766,HMDB0304766,trans-12-Octadecenoic acid,C18H34O2,282.255880335,M+H,+,283.263156,1,177.814
283.2627766,HMDB0002080,Petroselinic acid,C18H34O2,282.255880335,M+H,+,283.263156,1,177.351
283.2627766,HMDB0003231,Vaccenic acid,C18H34O2,282.255880335,M+H,+,283.263156,1,178.628
283.2627766,HMDB0304765,cis-15-Octadecenoic acid,C18H34O2,282.255880335,M+H,+,283.263156,1,175.7815
283.2627766,HMDB0059871,Ethyl 9-hexadecenoate,C18H34O2,282.255880332,M+H,+,283.263156,1,178.08166666666668
283.2627766,HMDB0303337,6-Octadecenoic acid,C18H34O2,282.255880332,M+H,+,283.263156,1,177.5465
283.2627766,HMDB0302289,trans-10-Octadecenoic acid,C18H34O2,282.255880332,M+H,+,283.263156,1,179.222
283.2627766,HMDB0302159,7-Octadecenoic acid,C18H34O2,282.255880332,M+H,+,283.263156,1,178.61
283.2627766,HMDB0000207,Oleic acid,C18H34O2,282.255880332,M+H,+,283.263156,1,179.12625
283.2627766,HMDB0240219,cis-Vaccenic acid,C18H34O2,282.255880332,M+H,+,283.263156,1,178.17633333333333
283.2627766,HMDB0000573,Elaidic acid,C18H34O2,282.255880332,M+H,+,283.263156,1,178.6365
